Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IQDG,5358,0,0.00,0,0.00,29.62,5158,200
MFUL,5305,0,0.00,0,0.00,21.47,5305,0
RULE,5296,0,0.00,0,0.00,20.31,5296,0
PMAR,5079,0,0.00,0,0.00,29.51,5079,0
PJAN,5023,0,0.00,0,0.00,30.01,5023,0
VCEB,5014,0,0.00,0,0.00,62.94,5014,0
IGLD,5004,0,0.00,0,0.00,19.90,5004,0
EDEN,4956,0,0.00,25,75.00,86.34,4956,0
KNG,4922,0,0.00,0,0.00,49.11,4922,0
NJUL,4903,0,0.00,0,0.00,42.94,4902,1
DURA,4862,0,0.00,0,0.00,30.19,4762,100
IBHE,4780,0,0.00,0,0.00,22.42,4780,0
KJUL,4575,0,0.00,0,0.00,23.34,3575,1000
DALT,4493,0,0.00,0,0.00,8.91,4493,0
XJR,4440,0,0.00,0,0.00,32.42,4440,0
GHYG,4417,0,0.00,0,0.00,40.70,4417,0
QVAL,4304,0,0.00,0,0.00,29.92,4304,0
DWLD,4266,0,0.00,0,0.00,24.15,4266,0
AESR,4169,0,0.00,0,0.00,11.08,4169,0
FFTG,4134,0,0.00,0,0.00,24.63,4134,0
SHAG,4129,0,0.00,0,0.00,47.55,4129,0
SMIN,4120,0,0.00,0,0.00,48.80,4120,0
NUEM,4054,0,0.00,0,0.00,27.28,4027,27
BUFR,3934,0,0.00,0,0.00,21.41,3934,0
QTJL,3912,0,0.00,0,0.00,20.00,3912,0
IBMM,3888,0,0.00,0,0.00,25.97,3788,100
SECT,3883,0,0.00,1,35.92,36.37,3883,0
SMDV,3882,0,0.00,0,0.00,58.75,3421,461
ADFI,3757,0,0.00,0,0.00,8.51,3757,0
TILT,3748,0,0.00,0,0.00,145.22,3648,100
TYA,3718,0,0.00,0,0.00,18.21,3718,0
EMGF,3675,0,0.00,0,0.00,42.92,3675,0
IBML,3610,0,0.00,0,0.00,25.51,3610,0
TBJL,3604,0,0.00,0,0.00,21.18,3604,0
REGL,3568,0,0.00,0,0.00,67.46,3484,84
VFQY,3568,0,0.00,0,0.00,98.45,3393,175
HFGO,3545,0,0.00,2,11.00,11.45,3545,0
BSEP,3538,0,0.00,0,0.00,29.32,3538,0
PAPR,3538,0,0.00,0,0.00,27.01,3538,0
FYLD,3524,0,0.00,0,0.00,23.26,3224,300
PRNT,3510,10,30.00,230,20.70,21.18,3510,0
LVHI,3506,0,0.00,5,25.44,25.63,3506,0
THY,3488,0,0.00,0,0.00,23.10,3488,0
DDLS,3448,0,0.00,0,0.00,30.12,3348,100
XSHD,3269,0,0.00,0,0.00,19.83,3269,0
FAPR,3207,0,0.00,0,0.00,28.39,2926,281
BDEC,3196,0,0.00,0,0.00,30.47,3196,0
BLDG,3171,0,0.00,0,0.00,26.74,3171,0
NUSC,3084,0,0.00,0,0.00,32.81,2985,99
FLQM,3026,0,0.00,0,0.00,38.83,2926,100
FPFD,3018,0,0.00,0,0.00,20.13,3018,0
FMAY,2997,0,0.00,0,0.00,34.34,2997,0
SVAL,2981,0,0.00,0,0.00,26.78,2981,0
GOVZ,2976,0,0.00,0,0.00,15.66,2976,0
GVI,2975,0,0.00,0,0.00,105.47,2875,100
XBTF,2927,18,35.23,15,17.38,18.29,2920,7
XDQQ,2875,0,0.00,0,0.00,21.52,2875,0
TMFC,2823,0,0.00,0,0.00,31.86,1156,1667
MSVX,2806,0,0.00,0,0.00,25.40,2806,0
OGIG,2716,70,44.44,49,26.80,26.80,2716,0
BUFB,2686,0,0.00,0,0.00,22.38,2686,0
FJUL,2607,0,0.00,0,0.00,33.18,2607,0
PSFF,2606,0,0.00,10,10.01,20.77,2606,0
MRGR,2590,0,0.00,0,0.00,40.21,2590,0
GVAL,2571,100,22.30,0,0.00,18.09,2571,0
EYLD,2564,0,0.00,0,0.00,26.71,2564,0
